Area,Item,Year,Export_V(1000USD),Import_V(1000USD)
Malaysia,"Meat, chicken",2014,7459.0,112964.0
Malaysia,"Meat, chicken",2015,12462.0,111419.0
Malaysia,"Meat, chicken",2016,12296.0,121383.0
Malaysia,"Meat, chicken",2017,9848.0,141671.0
Malaysia,"Meat, chicken",2018,13295.0,155883.0
Malaysia,"Meat, duck",2008,514.0,1072.0
Malaysia,"Meat, duck",2009,227.0,697.0
Malaysia,"Meat, duck",2010,312.0,240.0
Malaysia,"Meat, duck",2011,707.0,120.0
Malaysia,"Meat, duck",2012,592.0,169.0
Malaysia,"Meat, duck",2013,4306.0,110.0
Malaysia,"Meat, duck",2014,367.0,105.0
Malaysia,"Meat, duck",2015,667.0,362.0
Malaysia,"Meat, duck",2016,1662.0,413.0
Malaysia,"Meat, duck",2017,502.0,1083.0
Malaysia,"Meat, duck",2018,2373.0,445.0
Malaysia,"Meat, goat",2008,61.0,1891.0
Malaysia,"Meat, goat",2009,1.0,1332.0
Malaysia,"Meat, goat",2010,0.0,1750.0
Malaysia,"Meat, goat",2011,16.0,1444.0
Malaysia,"Meat, goat",2012,0.0,2423.0
Malaysia,"Meat, goat",2013,0.0,2106.0
Malaysia,"Meat, goat",2018,98.0,1018.0
Malaysia,"Meat, sheep",2008,42.0,54642.0
Malaysia,"Meat, sheep",2009,34.0,56037.0
Malaysia,"Meat, sheep",2010,452.0,98985.0
Malaysia,"Meat, sheep",2011,174.0,95638.0
Malaysia,"Meat, sheep",2012,519.0,93538.0
Malaysia,"Meat, sheep",2013,153.0,111958.0
Malaysia,"Meat, sheep",2014,25.0,150582.0
Malaysia,"Meat, sheep",2015,165.0,132967.0
Malaysia,"Meat, sheep",2016,63.0,119941.0
Malaysia,"Meat, sheep",2017,60.0,181818.0
Malaysia,"Meat, sheep",2018,950.0,180474.0
Malaysia,"Milk, whole fresh cow",2008,10271.0,5373.0
Malaysia,"Milk, whole fresh cow",2009,9629.0,4431.0
Malaysia,"Milk, whole fresh cow",2010,18547.0,4889.0
Malaysia,"Milk, whole fresh cow",2011,10621.0,7199.0
Malaysia,"Milk, whole fresh cow",2012,13956.0,9579.0
Malaysia,"Milk, whole fresh cow",2013,6496.0,34673.0
Malaysia,"Milk, whole fresh cow",2014,3429.0,25395.0
Malaysia,"Milk, whole fresh cow",2015,4431.0,22403.0
Malaysia,"Milk, whole fresh cow",2016,2551.0,20063.0
Malaysia,"Milk, whole fresh cow",2017,3290.0,25164.0
Malaysia,"Milk, whole fresh cow",2018,2620.0,22998.0
Malaysia,"Oil, palm kernel",2008,743145.0,369956.0
Malaysia,"Oil, palm kernel",2009,480275.0,276559.0
Malaysia,"Oil, palm kernel",2010,830201.0,595250.0
Malaysia,"Oil, palm kernel",2011,1279230.0,866428.0
Malaysia,"Oil, palm kernel",2012,809232.0,499757.0
Malaysia,"Oil, palm kernel",2013,713457.0,188263.0
Malaysia,"Oil, palm kernel",2014,809886.0,274232.0
Malaysia,"Oil, palm kernel",2015,664564.0,330344.0
Malaysia,"Oil, palm kernel",2016,818307.0,265868.0
Malaysia,"Oil, palm kernel",2017,846556.0,321350.0
Malaysia,"Oil, palm kernel",2018,653398.0,290458.0
Malaysia,"Onions, dry",2008,20952.0,111842.0
Malaysia,"Onions, dry",2009,14998.0,132715.0
Malaysia,"Onions, dry",2010,18541.0,189283.0
Malaysia,"Onions, dry",2011,14856.0,191487.0
Malaysia,"Onions, dry",2012,11348.0,137763.0
Malaysia,"Onions, dry",2013,31996.0,213423.0
Malaysia,"Onions, dry",2014,12127.0,145943.0
Malaysia,"Onions, dry",2015,23571.0,210506.0
Malaysia,"Onions, dry",2016,22417.0,166370.0
Malaysia,"Onions, dry",2017,15192.0,172869.0
Malaysia,"Onions, dry",2018,8423.0,181092.0
Malaysia,"Onions, shallots, green",2008,0.0,0.0
Malaysia,"Onions, shallots, green",2009,0.0,0.0
Malaysia,"Onions, shallots, green",2010,0.0,0.0
Malaysia,"Onions, shallots, green",2011,0.0,0.0
Malaysia,"Onions, shallots, green",2012,0.0,0.0
Malaysia,"Onions, shallots, green",2013,0.0,0.0
Malaysia,"Rice, paddy",2008,9.0,909.0
Malaysia,"Rice, paddy",2009,1.0,13.0
Malaysia,"Rice, paddy",2010,0.0,4.0
Malaysia,"Rice, paddy",2011,0.0,14.0
Malaysia,"Rice, paddy",2012,0.0,299.0
Malaysia,"Rice, paddy",2013,9.0,189.0
Malaysia,"Rice, paddy",2015,2.0,3.0
Malaysia,"Rice, paddy",2016,0.0,2.0
Myanmar,Bananas,2014,4644.0,10.0
Myanmar,Bananas,2017,69640.0,3.0
Myanmar,Bananas,2018,95978.0,7.0
Myanmar,Cassava,2014,2940.0,19.0
Myanmar,Cassava,2015,8.0,37.0
Myanmar,Cassava,2016,43.0,80.0
Myanmar,Cassava,2017,16.0,39.0
Myanmar,Cassava,2018,3238.0,5.0
Myanmar,"Eggs, hen, in shell",2008,0.0,1194.0
Myanmar,"Eggs, hen, in shell",2009,0.0,867.0
Myanmar,"Eggs, hen, in shell",2010,0.0,1120.0
Myanmar,"Eggs, hen, in shell",2011,0.0,1621.0
Myanmar,"Eggs, hen, in shell",2012,0.0,1326.0
Myanmar,"Eggs, hen, in shell",2013,0.0,1200.0
Myanmar,Garlic,2008,315.0,58.0
